id,g_r,r_i,i_z,z_y
0,-0.4931530903448973,-0.38077031528576555,-0.30694608724992634,-0.1901875072606245
1,-0.48813961325274136,-0.37884616620871725,-0.3039038777550829,-0.18988887196973536
2,-0.48655098199440516,-0.3789294737445772,-0.3026465935676015,-0.19043154344647206
3,-0.47522336479863014,-0.37421483666201993,-0.2972635601963418,-0.1900335229026524
4,-0.4739982812612027,-0.3741421742709292,-0.2962674295947849,-0.19014843788228575
5,-0.4727279355134968,-0.37447982717885253,-0.2951456945054858,-0.190618607317937
6,-0.4716481736020981,-0.3755362272370917,-0.2941021363470355,-0.19127493586731248
7,-0.4707601927249101,-0.37726964037304356,-0.29277070685236595,-0.19206476776651016
8,-0.46980816564530414,-0.37919707340608255,-0.2910018775813228,-0.19277692273387004
9,-0.46827763037543235,-0.3805432974544658,-0.2889088697595952,-0.1928025347884983
10,-0.46588299702406744,-0.38088365200701446,-0.2867155014556033,-0.19188926400342865
11,-0.4580817348758117,-0.37806525877816455,-0.2822325150545453,-0.18710187589079652
12,-0.4274103250649546,-0.3579538617374851,-0.26647636480458914,-0.16947399554969422
13,-0.38261717345533697,-0.3263152742657027,-0.23887030897887485,-0.14045578725989571
14,-0.3397293041327458,-0.29763851698321986,-0.21170806252195007,-0.1121514910363004
15,-0.29929647132591697,-0.2704822726889873,-0.1797696716241859,-0.07731209379434745
16,-0.23007137658663623,-0.22446093968643765,-0.14951281493245006,-0.0294002071732109
17,-0.21471965860129671,-0.2149467108727805,-0.14593868397081167,-0.02571276126047195
18,-0.17403442920318213,-0.18969457691056135,-0.1365993970779229,-0.021015619507188887
19,-0.11011901199635332,-0.15348133427234956,-0.12327846323387348,-0.021081852116111577
20,0.057887978380918526,-0.05088718438700823,-0.07639141257130433,-0.025392969573779567
21,0.10211976552377422,-0.02336677798915332,-0.061419280248820485,-0.02362016455443694
22,0.19642692801424033,0.03171462151011184,-0.030034372077672344,-0.014091601187338654
23,0.2480069360291708,0.05922609428046144,-0.013932317765721791,-0.0062532347820436485
24,0.31178593199038573,0.08938302863718661,0.002876591353597746,0.0020612039485499167
25,0.37000500256404223,0.11707224314759657,0.019876567143263912,0.01371060201178409
26,0.4339086904871081,0.1467818372851326,0.03841820387508221,0.026372973297412727
27,0.5038021241795718,0.17927619550146545,0.05888381425452849,0.04013471468492469
28,0.6802644955515049,0.2596589934722715,0.10858929853670674,0.07544924475588033
29,0.8011516528173814,0.31262565471929804,0.14019958972209423,0.09769843654611066
30,0.9428081440607983,0.38729123860335335,0.18111746165497777,0.11980067448401144
31,1.0747645133208792,0.4890668454930207,0.23747163757082745,0.14215977255616963
32,1.1588187599204076,0.6130617098752964,0.31020842516515756,0.1688437357770738
33,1.2307227638516238,0.7746474006048842,0.3964103460490378,0.20233387758053567
34,1.2918733190460898,0.751078427423792,0.3829879867564756,0.19727266990229708
35,-0.44728060678959025,-0.37137847496996557,-0.27781002075536065,-0.18679606044603503
36,-0.33951639142967593,-0.29691522904660417,-0.20635970716599417,-0.11504204073042246
37,0.35144267069185275,0.11219259104657908,0.0190661641182146,0.01735041145857963
38,0.49619688283736707,0.17926607907672576,0.05866846940398318,0.04190981314798137
39,0.672279049335927,0.2569925668796458,0.10901543746195586,0.06734055990059318
40,1.0347834020302216,0.4513048254211611,0.22950602965570965,0.1433680242367643
41,1.1935302225128055,0.5962117901499084,0.3138685424370564,0.188022608335757
42,-0.41711978800475435,-0.35411347844996754,-0.2661450113266639,-0.1825058788038092
43,-0.3131432617044254,-0.2817082506024775,-0.1882692624346376,-0.1187113925926937
44,-0.23261849975448,-0.2296767768757917,-0.1035433902341083,-0.06590559310672006
45,-0.20690209869513154,-0.20481527084927365,-0.0671629374972369,-0.021100217024461188
46,-0.13481528594786596,-0.1559140904996994,-0.054614369075579816,-0.0005961758874093448
47,-0.015403455714007919,-0.08254752779424024,-0.02543414716470238,0.006400148270728323
48,0.4211767781532245,0.13922851314390527,0.03543310199743388,0.03917485101056428
49,0.7077048099586278,0.26220430063303724,0.10498419440883566,0.06970710880204223
50,0.8013383266474818,0.30738645651530305,0.13883184635026424,0.08334689325214129
51,1.315667708028073,0.590563342280845,0.30141022830010655,0.18316241019770985
52,1.315667708028073,0.590563342280845,0.30141022830010655,0.18316241019770985
53,1.4348639954207272,0.8673935905442178,0.4421194037377987,0.2532646499099087
54,-0.49723350184354587,-0.3826995948443752,-0.3110062980160251,-0.1891444060965526
55,-0.491751007314285,-0.3805979587486519,-0.3076642133742311,-0.18915362279737025
56,-0.48975023404792495,-0.3805525159085619,-0.30612038908545713,-0.18984156960167553
57,-0.4785109567656747,-0.37592201778620193,-0.30068636008730465,-0.18922294789821592
58,-0.47702470411640974,-0.37571139590161096,-0.29959828125753774,-0.1894180375866128
