source_name,source_id,ra,dec,clon,clat,sigra,sigdec,w1snr,w2snr,w1mpro,w1sigmpro,w2mpro,w2sigmpro,rchi2,nb,w1nm,w1m,w2nm,w2m,meanobsmjd,pmra,pmdec,sigpmra,sigpmdec,rchi2_pm,cc_flags,ab_flags,dist,angle
J050530.63+524950.5,0764p530_b0-003453,76.3776348,52.8307035,05h05m30.63s,52d49m50.53s,0.0253,0.0226,84.5,101.7,12.77,0.013,12.881,0.011,2.233,2,12,12,12,12,57182.737946,0.01035,-0.083,0.0053,0.0049,1.652,0h00,00,1.442216,171.780323
J125702.29+220149.5,1938p227_b0-001057,194.2595491,22.0304197,12h57m02.29s,22d01m49.51s,0.0334,0.0367,73.8,56.2,14.368,0.015,14.486,0.019,1.644,1,12,12,12,12,57138.914248,-0.03552,-0.21235,0.009,0.0098,0.7374,0000,00,3.23922,191.945048
J055227.69+155310.5,0876p151_b0-008821,88.1154097,15.8862608,05h52m27.70s,15d53m10.54s,0.0355,0.0341,72.6,60.7,14.023,0.015,14.122,0.018,1.552,1,12,12,12,12,57174.920024,0.07683,-0.176,0.0089,0.0093,0.8408,0000,00,3.447578,158.204136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J121405.15+453818.6,1831p454_b0-064231,183.5214732,45.638516,12h14m05.15s,45d38m18.66s,0.5716,0.703,5.9,0.4,18.605,0.184,18.12,,0.7918,1,1,12,0,12,57220.795576,0.39223,-0.48401,0.25,0.3241,0.7754,,00,0.489955,70.245631
J130234.42+101238.3,1953p106_b0-058064,195.6434383,10.2106438,13h02m34.43s,10d12m38.32s,0.3675,0.424,8.6,3.2,18.022,0.126,17.881,0.344,0.9043,1,6,13,1,13,56226.661936,-0.22945,-0.12799,0.1688,0.2081,0.9016,0000,00,0.739375,197.197014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J151421.29+004752.3,2284p015_b0-019117,228.5887373,0.7978831,15h14m21.30s,00d47m52.38s,0.126,0.1479,25.1,5.9,16.713,0.043,17.097,0.183,0.8486,1,12,12,3,12,57182.680047,0.01021,-0.09917,0.0506,0.0532,0.8404,0000,00,0.596149,134.90492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J181424.03+785403.1,2736p787_b0-063149,273.600127,78.9008618,18h14m24.03s,78d54m03.10s,0.2586,0.2757,13.3,0.5,18.221,0.081,18.525,,0.7498,1,8,12,0,12,57062.979826,0.02909,-0.10815,0.0937,0.0986,0.7473,,00,0.341611,303.08549
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
